timestamp,dx_down,dy_down,dx_forward,dy_forward,dx_left,dy_left,dx_right,dy_right
0.0,-1,-1,-1,-7,0,-6,-1,-6
0.1,12,0,5,-10,0,-9,0,-9
0.2,25,0,13,-11,-1,-10,-1,-10
0.30000000000000004,46,-1,23,-11,0,-10,-1,-10
0.4,61,-1,30,-10,-1,-10,-1,-9
0.5,67,0,33,-11,-1,-10,-1,-10
0.6000000000000001,69,-1,34,-10,0,-11,0,-10
0.7000000000000001,77,-1,37,-11,-5,3,2,-3
0.8,73,-1,36,-9,-1,-10,0,-9
0.9,66,0,32,-10,-1,-9,-1,-10
1.0,52,-1,25,-9,-1,-10,0,-9
1.1,43,0,21,-9,-1,-10,-1,-9
1.2000000000000002,27,0,12,-9,0,-10,0,-10
1.3,23,-1,11,-10,-1,-10,-1,-10
1.4000000000000001,11,0,6,-9,0,-9,-1,-9
1.5,-7,-1,-4,-10,0,-9,0,-10
1.6,-17,0,-9,-11,-1,-10,0,-10
1.7000000000000002,-42,-1,-22,-9,-1,-9,0,-9
1.8,-61,0,-31,-9,-1,-9,-1,-10
1.9000000000000001,-70,0,-34,-9,-1,-9,0,-10
2.0,-70,0,-35,-10,-1,-9,0,-9
2.1,-69,0,-34,-10,0,-9,-1,-10
2.2,-69,-1,-34,-9,-1,-10,-1,-10
2.3000000000000003,-58,0,-29,-9,-1,-9,0,-9
2.4000000000000004,-48,-1,-23,-10,0,-10,-1,-10
2.5,-54,-1,-26,-9,0,-10,-1,-10
2.6,-22,0,-10,-10,-1,-11,0,-10
2.7,-13,-1,-7,-11,-1,-11,0,-10
2.8000000000000003,-20,-1,-11,-11,0,-10,0,-11
2.9000000000000004,12,0,6,-9,0,-10,0,-9
3.0,41,0,20,-9,-1,-9,-1,-9
3.1,37,0,18,-10,-1,-9,-1,-9
3.2,32,-1,14,-10,-1,-9,-1,-10
3.3000000000000003,56,0,28,-11,-1,-10,-1,-10
3.4000000000000004,73,-1,36,-10,-6,-5,0,-1
3.5,70,-1,34,-10,0,-9,-1,-9
3.6,69,-1,34,-10,0,-10,-1,-11
3.7,69,-1,35,-10,0,-9,-1,-10
3.8000000000000003,34,0,17,-9,-1,-10,0,-10
3.9000000000000004,49,-1,24,-9,0,-9,-1,-10
4.0,49,-1,24,-10,-1,-10,-1,-10
4.1000000000000005,18,0,9,-9,-1,-10,-1,-9
4.2,11,0,6,-9,0,-9,-1,-10
4.3,2,0,1,-10,-1,-10,0,-9
4.4,-24,-1,-12,-9,0,-9,-1,-10
4.5,-28,-1,-14,-10,0,-10,-1,-9
