x,y,z,vx,vy,vz,timestamp
-0.036764705882352935,-0.33088235294117646,0.0,-0.40441176470588236,-3.639705882352941,0.0,0.0
0.17669223704824155,-1.529536491815677,0.0,1.0570741721138788,-8.444303387175193,0.0,0.1
1.1834762446252092,-3.6362040661399195,0.0,4.671593896863514,-13.507559312582078,0.0,0.2
3.2404486842305316,-6.73921166048863,0.0,9.665777084982965,-19.012021486676673,0.0,0.3
6.757535111052831,-10.65607583750871,0.0,16.351801896356577,-24.295973757094227,0.0,0.4
12.015221987132247,-15.40661786376859,0.0,24.598879433364694,-29.579886845184262,0.0,0.5
18.828025662756787,-20.75662449280317,0.0,33.443537687096494,-34.44021094911968,0.0,0.6000000000000001
27.24900552402982,-26.729017937869806,0.0,42.834046848986745,-39.11707768814887,0.0,0.7000000000000001
37.44077471322438,-32.535836970891154,0.0,52.93357194952281,-42.35650608956953,0.0,0.8
49.19432254131419,-38.366788762329456,0.0,63.258247193903756,-44.9061160873936,0.0,0.9
62.21920654721658,-43.98628447801192,0.0,73.36246546879839,-46.60881656155997,0.0,1.0
75.71697988177618,-49.439485021359936,0.0,82.20029782026252,-47.745285124498494,0.0,1.1
89.68177266960988,-54.353591596036075,0.0,90.0859999130513,-47.93688067270346,0.0,1.2000000000000002
98.69037266091502,-59.14727966330642,0.0,90.0859999130513,-47.93688067270346,0.0,1.3
107.69897265222015,-63.940967730576766,0.0,90.0859999130513,-47.93688067270346,0.0,1.4
116.70757264352528,-68.73465579784711,0.0,90.0859999130513,-47.93688067270346,0.0,1.5
125.71617263483041,-73.52834386511746,0.0,90.0859999130513,-47.93688067270346,0.0,1.6
134.72477262613555,-78.32203193238782,0.0,90.0859999130513,-47.93688067270346,0.0,1.7000000000000002
143.73337261744066,-83.11571999965817,0.0,90.0859999130513,-47.93688067270346,0.0,1.8
149.09814414651382,-87.25092702597226,0.0,86.36866403252685,-47.26511600936571,0.0,1.9
151.38109174438208,-92.88978397142829,0.0,80.10578923510619,-48.16438854333213,0.0,2.0
150.44711712661305,-99.3584918830697,0.0,71.5282106222036,-49.74886871479298,0.0,2.1
147.54648338184822,-105.49098132092696,0.0,62.094114366843,-50.835155393982525,0.0,2.2
142.15808571964467,-112.97678052053577,0.0,51.39332727958047,-53.05163660624768,0.0,2.3000000000000003
134.60098680247054,-121.22152896470323,0.0,39.82979038885825,-55.72892405503524,0.0,2.4000000000000004
124.09256255655441,-129.94045434166793,0.0,26.759097869194925,-58.56652568812333,0.0,2.5
112.00075848536274,-138.60024143372837,0.0,13.53292877699106,-61.07705179588038,0.0,2.6
97.79445352989369,-147.47588804561664,0.0,-0.33430612540310456,-63.54393393829378,0.0,2.7
81.48004023126877,-156.0529410507786,0.0,-14.798702439252297,-65.5185954258082,0.0,2.8000000000000003
64.3425793020582,-163.83334240442602,0.0,-28.684775745300627,-66.60813863784583,0.0,2.9000000000000004
46.103355440334354,-171.34660963177868,0.0,-42.30754210742005,-67.36364997018536,0.0,3.0
27.501866672491182,-177.59315040309914,0.0,-55.04673739071551,-66.92943650386167,0.0,3.1
9.26217636112587,-183.34391314979047,0.0,-66.34589355058878,-66.09348555701646,0.0,3.2
2.6275870060669924,-189.9532617054921,0.0,-66.34589355058878,-66.09348555701646,0.0,3.3000000000000003
-4.007002348991886,-196.56261026119375,0.0,-66.34589355058878,-66.09348555701646,0.0,3.4000000000000004
-10.641591704050764,-203.1719588168954,0.0,-66.34589355058878,-66.09348555701646,0.0,3.5
-17.276181059109643,-209.78130737259704,0.0,-66.34589355058878,-66.09348555701646,0.0,3.6
-23.91077041416852,-216.39065592829868,0.0,-66.34589355058878,-66.09348555701646,0.0,3.7
-30.5453597692274,-223.00000448400033,0.0,-66.34589355058878,-66.09348555701646,0.0,3.8
-37.17994912428628,-229.60935303970197,0.0,-66.34589355058878,-66.09348555701646,0.0,3.9
-43.81453847934516,-236.21870159540362,0.0,-66.34589355058878,-66.09348555701646,0.0,4.0
-50.44912783440404,-242.82805015110526,0.0,-66.34589355058878,-66.09348555701646,0.0,4.1000000000000005
-47.21691382846811,-248.2664535811776,0.0,-58.93594937779718,-65.21410875250692,0.0,4.2
-41.19941267184629,-255.19769483539085,0.0,-50.15436756218864,-65.51626054230512,0.0,4.3
-31.837622146700465,-262.9284360933575,0.0,-39.684944348403164,-66.37488618994466,0.0,4.4
-19.440221855373068,-271.3477179363245,0.0,-27.853480990529924,-67.663005268887,0.0,4.5
